,GarageType = Attchd,GarageType = Detchd,GarageType = BuiltIn,GarageType = CarPort,GarageType = Basment,GarageType = 2Types,GarageType = No_Garage,GarageFinish = RFn,GarageFinish = Unf,GarageFinish = Fin,GarageFinish = No_Garage,BsmtQual = Gd,BsmtQual = TA,BsmtQual = Ex,BsmtQual = Fa,BsmtQual = No Basement,BsmtFinType1 = GLQ,BsmtFinType1 = ALQ,BsmtFinType1 = Unf,BsmtFinType1 = Rec,BsmtFinType1 = BLQ,BsmtFinType1 = LwQ,BsmtFinType1 = No Basement,ExterQual = Gd,ExterQual = TA,ExterQual = Ex,ExterQual = Fa,KitchenQual = Gd,KitchenQual = TA,KitchenQual = Ex,KitchenQual = Fa,Foundation = PConc,Foundation = CBlock,Foundation = BrkTil,Foundation = Wood,Foundation = Slab,Foundation = Stone,HeatingQC = Ex,HeatingQC = Gd,HeatingQC = TA,HeatingQC = Fa,HeatingQC = Po,MasVnrType = BrkFace,MasVnrType = None,MasVnrType = Stone,MasVnrType = BrkCmn,Id,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,Hood_X,Hood_Y,NhMedGrThan,Neighborhood,SalePrice
10,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,10,5,1040,1,384,1040,1040,1,5,1965,42.025818900000004,-93.6685531,100000,Sawyer,129500
11,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,11,9,2324,3,736,1175,1182,3,11,2005,42.0602355,-93.64982195100859,300000,NridgHt,345000
12,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,12,5,912,1,352,912,912,1,4,1962,42.025818900000004,-93.6685531,100000,Sawyer,144000
13,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,13,7,1494,3,840,1494,1494,2,7,2006,42.015434,-93.6685882,150000,CollgCr,279500
14,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,14,6,1253,1,352,1253,1253,1,5,1960,42.0150957,-93.69798309999999,100000,NAmes,157000
15,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,15,7,854,2,576,832,854,1,5,1929,42.026770299999995,-93.6170554,100000,BrkSide,132000
16,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,16,6,1004,2,480,1004,1004,1,5,1970,42.0150957,-93.69798309999999,100000,NAmes,149000
17,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,17,4,1296,2,516,0,1296,2,6,1967,42.025818900000004,-93.6685531,100000,Sawyer,90000
18,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,18,5,1114,2,576,1114,1114,1,6,2004,42.025818900000004,-93.6685531,150000,SawyerW,159000
19,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,19,5,1339,1,294,1029,1339,1,6,1958,42.0150957,-93.69798309999999,100000,NAmes,139000
20,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,20,8,2376,3,853,1158,1158,3,9,2005,42.0602355,-93.64982195100859,300000,NridgHt,325300
21,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,21,7,1108,1,280,637,1108,1,6,1930,42.022697408389,-93.6019325630406,100000,IDOTRR,139400
22,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,22,8,1795,2,534,1777,1795,2,7,2002,42.015434,-93.6685882,150000,CollgCr,230000
23,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,23,5,1060,2,572,1040,1060,1,6,1976,42.026770299999995,-93.6170554,0,MeadowV,129900
24,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,24,5,1060,1,270,1060,1060,1,6,1968,42.025818900000004,-93.6685531,100000,Sawyer,154000
25,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,25,8,1600,3,890,1566,1600,2,7,2007,42.0602355,-93.64982195100859,300000,NridgHt,256300
26,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,26,5,900,2,576,900,900,1,5,1951,42.0150957,-93.69798309999999,100000,NAmes,134800
27,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,27,8,1704,3,772,1704,1704,2,7,2007,42.0602355,-93.64982195100859,300000,NridgHt,306000
28,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,28,5,1600,1,319,1484,1600,1,6,1957,42.0150957,-93.69798309999999,100000,NAmes,207500
29,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,29,4,520,1,240,520,520,1,4,1927,42.026770299999995,-93.6170554,100000,BrkSide,68500
30,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,30,4,1317,1,250,649,649,1,6,1920,42.022697408389,-93.6019325630406,100000,IDOTRR,40000
31,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,31,5,1228,1,271,1228,1228,1,6,1966,42.025818900000004,-93.6685531,100000,Sawyer,149350
32,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,32,8,1234,2,484,1234,1234,2,7,2007,42.015434,-93.6685882,150000,CollgCr,179900
33,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,33,5,1700,2,447,1398,1700,1,6,1959,42.0150957,-93.69798309999999,100000,NAmes,165500
34,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,34,9,1561,2,556,1561,1561,2,6,2005,42.0602355,-93.64982195100859,300000,NridgHt,277500
35,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,35,8,2452,3,691,1117,1132,3,9,2004,42.0602355,-93.64982195100859,300000,NridgHt,309000
36,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,36,5,1097,2,672,1097,1097,1,6,1994,42.015434,-93.6685882,150000,CollgCr,145000
37,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,37,5,1297,2,498,1297,1297,1,5,1954,42.0150957,-93.69798309999999,100000,NAmes,153000
38,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,38,5,1057,1,246,1057,1057,1,5,1953,42.0150957,-93.69798309999999,100000,NAmes,109000
39,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,39,4,1152,0,0,0,1152,2,6,1955,42.015945,-93.6856328,100000,Edwards,82000
40,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,40,6,1324,2,440,1088,1324,2,6,1965,42.0150957,-93.69798309999999,100000,NAmes,160000
41,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,41,5,1328,1,308,1350,1328,1,5,1959,41.999613000000004,-93.649627,200000,Timber,170000
42,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,42,5,884,2,504,840,884,1,5,1983,42.025818900000004,-93.6685531,150000,SawyerW,144000
43,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,43,5,938,1,308,938,938,1,5,1975,42.015434,-93.6685882,150000,CollgCr,130250
44,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,44,5,1150,1,300,1150,1150,1,6,1959,42.0150957,-93.69798309999999,100000,NAmes,141000
45,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,45,9,1752,2,576,1752,1752,2,6,2005,42.0602355,-93.64982195100859,300000,NridgHt,319900
46,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,46,7,2149,2,670,1434,1518,1,6,2003,41.991126348388704,-93.60001159660851,150000,Mitchel,239686
47,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,47,8,1656,3,826,1656,1656,2,7,2006,42.0513008,-93.6441328,200000,Somerst,249700
48,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,48,4,1452,0,0,736,736,2,8,1920,42.0290131428571,-93.61418499999999,100000,OldTown,113000
49,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,49,5,955,1,386,955,955,1,6,1966,42.025818900000004,-93.6685531,100000,Sawyer,127000
50,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,50,6,1470,2,388,794,794,2,6,1997,42.074257700000004,-93.6544632306114,150000,Gilbert,177000
51,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,51,6,1176,2,528,816,816,1,6,1934,42.026770299999995,-93.6170554,100000,BrkSide,114500
52,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,52,5,816,2,516,816,816,1,5,1963,42.022697408389,-93.6019325630406,100000,IDOTRR,110000
53,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,53,9,1842,3,894,1842,1842,0,5,1981,42.037955700000005,-93.6507657718236,200000,Veenker,385000
54,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,54,5,1360,2,572,384,1360,1,6,1955,42.0150957,-93.69798309999999,100000,NAmes,130000
55,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,55,6,1425,2,576,1425,1425,2,7,1964,42.0150957,-93.69798309999999,100000,NAmes,180500
56,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,56,8,1739,2,480,970,983,2,7,1999,42.0513008,-93.6441328,200000,Somerst,172500
57,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,57,7,1720,2,565,860,860,2,7,2004,42.015434,-93.6685882,150000,CollgCr,196500
58,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,58,10,2945,3,641,1410,1426,3,10,2006,42.0590794,-93.6345917,250000,StoneBr,438780
59,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,59,5,780,1,352,780,780,1,4,1972,42.015434,-93.6685882,150000,CollgCr,124900
60,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,60,6,1158,2,576,1158,1158,1,5,2004,42.025818900000004,-93.6685531,150000,SawyerW,158000
61,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,61,5,1111,1,288,530,581,1,6,1920,42.022697408389,-93.6019325630406,100000,IDOTRR,101000
62,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,62,8,1370,2,484,1370,1370,2,6,2006,42.0602355,-93.64982195100859,300000,NridgHt,202500
63,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,63,7,1710,2,480,576,902,2,9,1921,42.0290131428571,-93.61418499999999,100000,OldTown,140000
64,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,64,7,2034,2,645,1057,1057,2,8,1997,42.015434,-93.6685882,150000,CollgCr,219500
65,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,65,8,2473,3,852,1143,1143,2,9,2004,42.0602355,-93.64982195100859,300000,NridgHt,317000
66,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,66,7,2207,2,576,1947,2207,2,7,1970,42.0150957,-93.69798309999999,100000,NAmes,180000
67,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,67,7,1479,2,558,1453,1479,2,7,2003,42.015434,-93.6685882,150000,CollgCr,226000
68,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,68,4,747,1,220,747,747,1,4,1945,42.0290131428571,-93.61418499999999,100000,OldTown,80000
69,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,69,7,2287,2,667,1304,1304,2,7,1953,42.029666999999996,-93.6596334,200000,ClearCr,225000
70,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,70,7,2223,2,516,2223,2223,2,8,1973,42.0150957,-93.69798309999999,100000,NAmes,244000
71,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,71,4,845,2,360,845,845,1,4,1982,41.991126348388704,-93.60001159660851,150000,Mitchel,129500
72,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,72,7,1718,2,427,832,885,2,7,1998,42.074257700000004,-93.6544632306114,150000,Gilbert,185000
73,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,73,5,1086,2,490,1086,1086,1,6,1954,42.0150957,-93.69798309999999,100000,NAmes,144900
74,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,74,3,1605,1,379,840,840,2,8,1915,42.0290131428571,-93.61418499999999,100000,OldTown,107400
75,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,75,4,988,1,297,462,526,1,5,1973,42.026770299999995,-93.6170554,0,MeadowV,91000
76,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,76,4,952,1,283,952,952,1,4,1956,42.0150957,-93.69798309999999,100000,NAmes,135750
77,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,77,5,1285,1,240,672,1072,1,6,1948,42.026770299999995,-93.6170554,100000,BrkSide,127000
78,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,78,4,1768,0,0,1768,1768,2,8,1968,42.025818900000004,-93.6685531,100000,Sawyer,136500
79,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,79,5,1230,2,440,440,682,1,5,1910,42.0290131428571,-93.61418499999999,100000,OldTown,110000
80,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,80,6,2142,1,509,896,1182,2,8,1968,42.0150957,-93.69798309999999,100000,NAmes,193500
81,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,81,6,1337,2,405,1237,1337,2,5,1998,41.991126348388704,-93.60001159660851,150000,Mitchel,153500
82,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,82,8,1563,3,758,1563,1563,2,6,2007,42.0513008,-93.6441328,200000,Somerst,245000
83,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,83,5,1065,2,461,1065,1065,1,6,1960,42.0150957,-93.69798309999999,100000,NAmes,126500
84,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,84,7,1474,2,400,384,804,2,7,1995,42.074257700000004,-93.6544632306114,150000,Gilbert,168500
85,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,85,8,2417,2,462,1288,1301,2,9,1991,42.0602355,-93.64982195100859,300000,NoRidge,260000
86,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,86,6,1560,2,400,684,684,2,6,2005,42.074257700000004,-93.6544632306114,150000,Gilbert,174000
87,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,87,6,1224,2,528,612,612,2,4,2009,42.0513008,-93.6441328,200000,Somerst,164500
