,SalePrice,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,Neighborhood,ExterQual,KitchenQual,BsmtQual,GarageFinish,Foundation,HeatingQC,GarageType,MasVnrType,BsmtFinType1
27,306000,8,1704,3,772,1704,1704,2,7,2007,NridgHt,Gd,Gd,Ex,RFn,PConc,Ex,Attchd,Stone,GLQ
28,207500,5,1600,1,319,1484,1600,1,6,1957,NAmes,TA,TA,TA,RFn,CBlock,TA,Attchd,None,BLQ
29,68500,4,520,1,240,520,520,1,4,1927,BrkSide,TA,Fa,TA,Unf,BrkTil,Fa,Detchd,None,Unf
30,40000,4,1317,1,250,649,649,1,6,1920,IDOTRR,TA,TA,TA,Unf,BrkTil,TA,Detchd,None,Unf
31,149350,5,1228,1,271,1228,1228,1,6,1966,Sawyer,TA,Gd,TA,Unf,CBlock,Gd,Attchd,None,Unf
32,179900,8,1234,2,484,1234,1234,2,7,2007,CollgCr,Gd,Gd,Ex,RFn,PConc,Ex,Attchd,None,Unf
33,165500,5,1700,2,447,1398,1700,1,6,1959,NAmes,TA,Gd,TA,RFn,CBlock,Gd,Attchd,None,Rec
34,277500,9,1561,2,556,1561,1561,2,6,2005,NridgHt,Ex,Ex,Ex,Fin,PConc,Ex,Attchd,BrkFace,GLQ
35,309000,8,2452,3,691,1117,1132,3,9,2004,NridgHt,Gd,Gd,Ex,Fin,PConc,Ex,BuiltIn,Stone,Unf
36,145000,5,1097,2,672,1097,1097,1,6,1994,CollgCr,TA,TA,Gd,Unf,PConc,Ex,Attchd,None,Unf
37,153000,5,1297,2,498,1297,1297,1,5,1954,NAmes,TA,TA,TA,Fin,CBlock,Gd,Attchd,BrkFace,Rec
38,109000,5,1057,1,246,1057,1057,1,5,1953,NAmes,TA,Gd,TA,Unf,CBlock,TA,Detchd,None,GLQ
39,82000,4,1152,0,0,0,1152,2,6,1955,Edwards,TA,Fa,,,PConc,TA,,None,
40,160000,6,1324,2,440,1088,1324,2,6,1965,NAmes,TA,TA,TA,RFn,CBlock,Ex,Attchd,BrkFace,Rec
41,170000,5,1328,1,308,1350,1328,1,5,1959,Timber,TA,TA,TA,RFn,CBlock,Gd,Attchd,None,BLQ
42,144000,5,884,2,504,840,884,1,5,1983,SawyerW,TA,Gd,Gd,RFn,CBlock,Gd,Attchd,None,ALQ
43,130250,5,938,1,308,938,938,1,5,1975,CollgCr,TA,TA,Gd,Unf,CBlock,TA,Detchd,None,LwQ
44,141000,5,1150,1,300,1150,1150,1,6,1959,NAmes,TA,TA,TA,RFn,CBlock,Ex,Attchd,None,ALQ
45,319900,9,1752,2,576,1752,1752,2,6,2005,NridgHt,Ex,Ex,Ex,RFn,PConc,Ex,Attchd,BrkFace,GLQ
46,239686,7,2149,2,670,1434,1518,1,6,2003,Mitchel,Gd,Gd,Ex,RFn,PConc,Ex,Attchd,None,GLQ
47,249700,8,1656,3,826,1656,1656,2,7,2006,Somerst,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,None,GLQ
48,113000,4,1452,0,0,736,736,2,8,1920,OldTown,TA,TA,TA,,BrkTil,Gd,,None,Unf
49,127000,5,955,1,386,955,955,1,6,1966,Sawyer,TA,TA,TA,Unf,CBlock,Ex,Attchd,None,BLQ
50,177000,6,1470,2,388,794,794,2,6,1997,Gilbert,TA,TA,Gd,Fin,PConc,Gd,Attchd,None,GLQ
51,114500,6,1176,2,528,816,816,1,6,1934,BrkSide,TA,TA,TA,Unf,PConc,TA,Detchd,None,Unf
52,110000,5,816,2,516,816,816,1,5,1963,IDOTRR,Fa,TA,Gd,Unf,CBlock,TA,CarPort,None,LwQ
53,385000,9,1842,3,894,1842,1842,0,5,1981,Veenker,Gd,Gd,Ex,Fin,CBlock,Gd,Attchd,None,GLQ
54,130000,5,1360,2,572,384,1360,1,6,1955,NAmes,TA,TA,TA,Unf,CBlock,TA,Detchd,None,ALQ
55,180500,6,1425,2,576,1425,1425,2,7,1964,NAmes,TA,TA,TA,RFn,CBlock,Gd,Attchd,BrkFace,BLQ
56,172500,8,1739,2,480,970,983,2,7,1999,Somerst,Gd,Gd,Gd,Fin,PConc,Ex,Attchd,BrkFace,GLQ
57,196500,7,1720,2,565,860,860,2,7,2004,CollgCr,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,None,Unf
58,438780,10,2945,3,641,1410,1426,3,10,2006,StoneBr,Ex,Gd,Ex,Fin,PConc,Ex,BuiltIn,BrkFace,Unf
59,124900,5,780,1,352,780,780,1,4,1972,CollgCr,TA,TA,TA,Unf,CBlock,Ex,Detchd,None,ALQ
60,158000,6,1158,2,576,1158,1158,1,5,2004,SawyerW,TA,Gd,Gd,Unf,PConc,Ex,Detchd,None,ALQ
61,101000,5,1111,1,288,530,581,1,6,1920,IDOTRR,TA,Fa,TA,Unf,BrkTil,TA,Detchd,None,Unf
62,202500,8,1370,2,484,1370,1370,2,6,2006,NridgHt,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,Stone,GLQ
63,140000,7,1710,2,480,576,902,2,9,1921,OldTown,TA,TA,TA,Unf,BrkTil,Gd,Detchd,None,Unf
64,219500,7,2034,2,645,1057,1057,2,8,1997,CollgCr,TA,Gd,Gd,RFn,PConc,Ex,Attchd,BrkFace,GLQ
65,317000,8,2473,3,852,1143,1143,2,9,2004,NridgHt,Gd,Gd,Ex,RFn,PConc,Ex,BuiltIn,BrkFace,Unf
66,180000,7,2207,2,576,1947,2207,2,7,1970,NAmes,TA,TA,Gd,RFn,CBlock,TA,Attchd,BrkFace,GLQ
67,226000,7,1479,2,558,1453,1479,2,7,2003,CollgCr,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,BrkFace,GLQ
68,80000,4,747,1,220,747,747,1,4,1945,OldTown,TA,TA,TA,Unf,CBlock,TA,Attchd,None,Unf
69,225000,7,2287,2,667,1304,1304,2,7,1953,ClearCr,Gd,TA,TA,Fin,CBlock,TA,Attchd,None,BLQ
70,244000,7,2223,2,516,2223,2223,2,8,1973,NAmes,TA,TA,Gd,Fin,CBlock,Ex,Attchd,BrkFace,ALQ
71,129500,4,845,2,360,845,845,1,4,1982,Mitchel,TA,TA,TA,Unf,CBlock,TA,Detchd,None,ALQ
72,185000,7,1718,2,427,832,885,2,7,1998,Gilbert,TA,TA,Gd,Fin,PConc,Gd,Attchd,BrkFace,Unf
73,144900,5,1086,2,490,1086,1086,1,6,1954,NAmes,TA,TA,TA,Unf,CBlock,Gd,Attchd,BrkFace,ALQ
74,107400,3,1605,1,379,840,840,2,8,1915,OldTown,Gd,TA,Fa,Unf,CBlock,Gd,Detchd,None,Unf
75,91000,4,988,1,297,462,526,1,5,1973,MeadowV,TA,TA,Gd,Unf,CBlock,TA,BuiltIn,None,GLQ
76,135750,4,952,1,283,952,952,1,4,1956,NAmes,TA,TA,TA,Unf,CBlock,Ex,Detchd,None,ALQ
77,127000,5,1285,1,240,672,1072,1,6,1948,BrkSide,TA,TA,TA,Unf,CBlock,TA,Detchd,None,BLQ
78,136500,4,1768,0,0,1768,1768,2,8,1968,Sawyer,TA,TA,TA,,CBlock,TA,,None,Unf
79,110000,5,1230,2,440,440,682,1,5,1910,OldTown,TA,TA,TA,Unf,PConc,Gd,Detchd,None,Unf
80,193500,6,2142,1,509,896,1182,2,8,1968,NAmes,TA,Gd,Gd,Fin,CBlock,TA,Attchd,BrkFace,Rec
81,153500,6,1337,2,405,1237,1337,2,5,1998,Mitchel,TA,TA,Ex,Fin,PConc,Ex,Attchd,BrkFace,GLQ
82,245000,8,1563,3,758,1563,1563,2,6,2007,Somerst,TA,Gd,Gd,RFn,PConc,Ex,Attchd,Stone,GLQ
83,126500,5,1065,2,461,1065,1065,1,6,1960,NAmes,TA,TA,TA,Unf,CBlock,Gd,Detchd,BrkCmn,Unf
84,168500,7,1474,2,400,384,804,2,7,1995,Gilbert,TA,TA,Gd,Fin,PConc,Gd,BuiltIn,BrkFace,Unf
85,260000,8,2417,2,462,1288,1301,2,9,1991,NoRidge,Gd,Gd,Gd,Unf,CBlock,Ex,Attchd,BrkFace,Unf
86,174000,6,1560,2,400,684,684,2,6,2005,Gilbert,Gd,Gd,Gd,Fin,PConc,Ex,BuiltIn,None,Unf
87,164500,6,1224,2,528,612,612,2,4,2009,Somerst,Gd,Gd,Gd,RFn,PConc,Ex,Detchd,Stone,Unf
88,85000,3,1526,0,0,1013,1013,1,6,1915,IDOTRR,Fa,Fa,TA,,CBlock,TA,,None,Unf
89,123600,4,990,0,0,990,990,1,5,1994,CollgCr,TA,TA,Gd,,PConc,Ex,,None,GLQ
90,109900,4,1040,2,420,0,1040,1,4,1950,NAmes,TA,TA,,Unf,Slab,TA,Detchd,None,
91,98600,5,1235,2,480,1235,1235,1,6,1961,NAmes,TA,TA,TA,Unf,CBlock,TA,Attchd,BrkCmn,Rec
92,163500,5,964,2,432,876,964,1,5,1921,Crawfor,TA,TA,Gd,Unf,BrkTil,Ex,Detchd,None,ALQ
93,133900,6,2291,2,506,1214,1260,2,9,1910,OldTown,TA,TA,TA,Unf,BrkTil,Ex,Detchd,None,Rec
94,204750,6,1786,2,684,824,905,2,7,1997,CollgCr,TA,Gd,Gd,RFn,PConc,Ex,Attchd,None,GLQ
95,185000,6,1470,2,420,680,680,2,6,1993,Gilbert,Ex,TA,Gd,Fin,PConc,Gd,BuiltIn,BrkFace,ALQ
96,214000,7,1588,2,472,1588,1588,2,6,1999,CollgCr,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,BrkFace,ALQ
97,94750,4,960,1,432,960,960,1,6,1965,Edwards,TA,TA,TA,Fin,CBlock,TA,Attchd,BrkFace,Rec
98,83000,5,835,1,366,458,835,1,5,1920,Edwards,TA,TA,TA,Unf,BrkTil,Fa,Basment,None,ALQ
99,128950,4,1225,0,0,950,1225,1,6,1959,NAmes,TA,TA,TA,,CBlock,Fa,,None,ALQ
100,205000,6,1610,2,480,1610,1610,2,6,1977,NWAmes,TA,Gd,TA,RFn,PConc,Gd,Attchd,BrkFace,ALQ
101,178000,6,1732,2,476,741,977,2,7,1985,SawyerW,Gd,Gd,Gd,Fin,CBlock,TA,Attchd,BrkFace,Unf
102,118964,5,1535,2,410,0,1535,2,8,1979,SawyerW,TA,TA,,Unf,Slab,TA,Attchd,None,
103,198900,7,1226,3,740,1226,1226,2,6,2009,CollgCr,TA,Gd,Gd,RFn,PConc,Ex,Attchd,None,Unf
104,169500,7,1818,1,240,1040,1226,1,7,1931,IDOTRR,TA,TA,TA,Unf,PConc,Ex,Detchd,BrkFace,LwQ
105,250000,8,1992,2,648,1053,1053,2,9,2003,Somerst,Gd,Gd,Ex,RFn,PConc,Ex,Attchd,BrkFace,Unf
106,100000,4,1047,1,273,641,1047,1,6,1885,OldTown,TA,TA,Fa,Unf,BrkTil,Gd,Detchd,None,Unf
107,115000,5,789,1,250,789,789,1,5,1948,OldTown,TA,TA,TA,Unf,CBlock,Ex,Detchd,None,ALQ
108,115000,5,1517,0,0,793,997,2,7,1919,IDOTRR,TA,Fa,TA,,CBlock,TA,,None,Unf
109,190000,6,1844,2,546,1844,1844,2,7,1977,NWAmes,TA,TA,Gd,RFn,CBlock,Ex,Attchd,BrkFace,BLQ
110,136900,6,1855,1,325,994,1216,2,7,1954,Edwards,TA,TA,TA,Unf,CBlock,Gd,Attchd,None,Rec
111,180000,7,1430,2,400,384,774,2,7,2000,Gilbert,TA,TA,Gd,Fin,PConc,Ex,BuiltIn,None,GLQ
112,383970,7,2696,3,792,1264,1282,2,10,2007,CollgCr,Gd,Ex,Ex,Fin,PConc,Ex,BuiltIn,Stone,GLQ
113,217000,6,2259,2,450,1809,2259,2,7,1953,Crawfor,TA,Gd,Gd,Unf,CBlock,TA,Basment,BrkFace,ALQ
114,259500,6,2320,1,180,1028,1436,2,9,1945,Crawfor,TA,Gd,TA,Unf,CBlock,Ex,Detchd,None,ALQ
115,176000,6,1458,2,440,729,729,2,5,1999,Somerst,TA,TA,Gd,Unf,PConc,Gd,Detchd,BrkFace,GLQ
116,139000,5,1092,1,288,1092,1092,1,6,1962,Sawyer,TA,TA,TA,Unf,CBlock,TA,Attchd,BrkFace,LwQ
117,155000,5,1125,2,430,1125,1125,1,5,2006,Edwards,TA,TA,Gd,Unf,PConc,Gd,Attchd,None,Unf
118,320000,7,3222,3,594,1673,1699,3,11,1990,SawyerW,TA,Gd,Gd,Unf,PConc,Gd,Attchd,None,GLQ
119,163990,6,1456,2,390,728,728,2,8,2005,CollgCr,Gd,Gd,Gd,Fin,PConc,Ex,Attchd,None,Unf
120,180000,6,988,2,540,938,988,1,4,1969,ClearCr,TA,TA,TA,Unf,CBlock,Ex,Attchd,None,ALQ
121,100000,4,1123,1,264,732,772,1,4,1939,IDOTRR,TA,TA,TA,Unf,PConc,Gd,Detchd,None,Unf
122,136000,6,1080,1,288,1080,1080,1,5,1958,NAmes,TA,TA,TA,Unf,CBlock,Gd,Attchd,BrkFace,BLQ
123,153900,6,1199,2,530,1199,1199,2,5,1993,SawyerW,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,None,GLQ
124,181000,6,1586,2,435,1362,1586,2,7,1979,NWAmes,TA,TA,Gd,Unf,CBlock,TA,Attchd,None,Unf
125,84500,6,754,0,0,520,520,1,5,1935,IDOTRR,TA,TA,TA,,CBlock,Gd,,None,GLQ
126,128000,6,958,2,440,1078,958,2,5,1976,NPkVill,TA,TA,Gd,RFn,CBlock,TA,Attchd,None,ALQ
127,87000,5,840,0,0,672,840,1,5,1930,OldTown,TA,TA,TA,,BrkTil,Ex,,None,LwQ
128,155000,6,1348,2,453,660,660,1,6,1966,NAmes,TA,TA,TA,RFn,CBlock,TA,Attchd,BrkFace,BLQ
129,150000,5,1053,2,750,1008,1053,1,6,1958,NAmes,TA,Ex,TA,RFn,CBlock,TA,2Types,BrkFace,Rec
130,226000,7,2157,2,487,924,1216,2,8,1966,NAmes,TA,Gd,TA,Fin,CBlock,Ex,Attchd,BrkFace,Rec
131,244000,6,2054,2,390,992,1022,2,7,2000,Gilbert,Gd,Gd,Gd,RFn,PConc,Ex,BuiltIn,BrkFace,GLQ
132,150750,5,1327,2,624,1063,1327,1,7,1959,NAmes,TA,Gd,TA,Unf,CBlock,Gd,Detchd,None,Rec
133,220000,8,1296,2,471,1267,1296,2,6,2001,Timber,Gd,Gd,Ex,Fin,PConc,Ex,Attchd,BrkFace,GLQ
134,180000,5,1721,2,440,1461,1721,2,7,1968,Sawyer,TA,TA,TA,RFn,CBlock,Gd,Attchd,None,Rec
135,174000,7,1682,2,530,1304,1682,2,7,1970,NWAmes,TA,TA,TA,Unf,PConc,Gd,Attchd,BrkFace,Unf
136,143000,5,1214,1,318,1214,1214,2,5,1967,NAmes,TA,TA,TA,RFn,CBlock,TA,Attchd,BrkFace,BLQ
137,171000,7,1959,3,766,1907,1959,3,9,1988,Mitchel,TA,TA,TA,Unf,CBlock,Gd,2Types,BrkFace,Unf
138,230000,8,1852,3,660,1004,1004,2,7,1999,CollgCr,Gd,Gd,Gd,Fin,PConc,Ex,Attchd,BrkFace,GLQ
139,231500,6,1764,2,470,928,928,2,7,1997,CollgCr,TA,Gd,Gd,RFn,PConc,Ex,Attchd,None,GLQ
140,115000,4,864,0,0,864,864,1,5,1971,NAmes,TA,TA,TA,,CBlock,TA,,None,ALQ
141,260000,7,1734,2,660,1734,1734,2,7,2005,CollgCr,Gd,Gd,Gd,Fin,PConc,Ex,Attchd,None,GLQ
142,166000,5,1385,2,720,910,910,2,6,1952,NAmes,TA,TA,TA,Unf,CBlock,Fa,Detchd,None,Rec
143,204000,7,1501,2,577,1490,1501,2,6,1999,CollgCr,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,BrkFace,GLQ
144,125000,5,1728,2,504,1728,1728,2,10,1963,Sawyer,TA,TA,TA,Unf,CBlock,TA,Detchd,BrkFace,Rec
145,130000,6,1709,2,380,970,970,2,7,2004,Edwards,Gd,Gd,Gd,Unf,PConc,Ex,Detchd,Stone,Unf
146,105000,5,875,1,180,715,875,1,5,1931,BrkSide,TA,TA,TA,Unf,BrkTil,TA,Detchd,None,BLQ
147,222500,7,2035,2,434,884,884,2,8,2001,Gilbert,Gd,Gd,Gd,Fin,PConc,Ex,BuiltIn,BrkFace,Unf
148,141000,7,1080,0,0,1080,1080,1,6,2004,SawyerW,TA,Gd,Gd,,PConc,Ex,,BrkFace,GLQ
149,115000,5,1344,1,240,896,896,1,7,1936,BrkSide,TA,TA,Gd,Unf,BrkTil,Gd,Detchd,None,Unf
150,122000,5,969,2,440,969,969,1,5,1975,CollgCr,TA,TA,TA,Unf,CBlock,TA,Attchd,None,BLQ
151,372402,8,1710,3,866,1710,1710,2,6,2007,NridgHt,Gd,Gd,Ex,RFn,PConc,Ex,Attchd,Stone,GLQ
152,190000,6,1993,2,495,825,1097,2,8,1971,NWAmes,TA,TA,TA,RFn,CBlock,Gd,Attchd,BrkFace,Rec
153,235000,6,1252,2,564,1602,1252,1,4,1960,ClearCr,TA,TA,Gd,RFn,CBlock,Gd,Attchd,None,BLQ
154,125000,6,1200,1,312,1200,1200,1,7,1923,OldTown,TA,TA,TA,Unf,BrkTil,TA,Detchd,None,Unf
155,79000,6,1096,0,0,572,572,1,5,1924,Edwards,TA,TA,TA,,BrkTil,Fa,,None,Unf
156,109500,5,1040,2,625,0,1040,1,5,1950,NAmes,TA,TA,,Unf,CBlock,TA,Detchd,None,
157,269500,8,1968,3,680,774,774,2,8,2009,Timber,Gd,Ex,Ex,Fin,PConc,Ex,BuiltIn,BrkFace,Unf
158,254900,7,1947,2,678,991,991,2,8,2004,Somerst,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,None,GLQ
159,320000,7,2462,2,576,1392,1392,2,9,2005,Gilbert,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,BrkFace,GLQ
160,162500,6,1232,2,516,1232,1232,2,6,1984,Veenker,TA,TA,Gd,Unf,PConc,TA,Attchd,None,BLQ
161,412500,9,2668,3,726,1572,1572,2,10,2003,NridgHt,Gd,Ex,Ex,Fin,PConc,Ex,BuiltIn,BrkFace,GLQ
162,220000,7,1541,2,532,1541,1541,2,7,2005,NridgHt,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,BrkFace,BLQ
163,103200,4,882,0,0,882,882,1,4,1956,OldTown,TA,TA,TA,,CBlock,Ex,,None,Unf
164,152000,6,1616,1,216,1149,1149,2,5,1926,OldTown,TA,Gd,TA,Unf,BrkTil,Gd,Detchd,None,LwQ
165,127500,5,1355,0,0,644,808,2,6,1940,Edwards,TA,TA,TA,,BrkTil,Gd,,None,ALQ
166,190000,5,1867,1,303,1617,1867,1,7,1955,ClearCr,Gd,TA,TA,Fin,CBlock,Ex,Attchd,None,LwQ
167,325624,8,2161,3,789,1582,1610,1,8,2007,NridgHt,Gd,Ex,Ex,Fin,PConc,Ex,Attchd,Stone,GLQ
168,183500,7,1720,2,440,840,840,2,7,2004,Gilbert,Gd,Gd,Gd,Fin,PConc,Ex,Attchd,None,Unf
169,228000,8,1707,2,511,1686,1707,2,6,1981,Timber,Gd,TA,Gd,RFn,CBlock,TA,Attchd,BrkFace,Unf
170,128500,5,1382,2,660,720,854,1,7,1941,OldTown,TA,TA,TA,Unf,CBlock,TA,Detchd,None,Rec
171,215000,6,1656,2,528,1080,1656,1,7,1960,NAmes,TA,TA,TA,Fin,CBlock,Fa,Attchd,Stone,BLQ
172,239000,7,1767,2,504,1064,1064,2,5,1987,StoneBr,Gd,Gd,Gd,RFn,PConc,Gd,Attchd,None,GLQ
173,163000,6,1362,2,504,1362,1362,1,6,1961,NAmes,TA,TA,TA,Unf,CBlock,TA,Attchd,BrkCmn,ALQ
174,184000,6,1651,2,616,1606,1651,2,7,1986,Timber,TA,TA,Gd,Fin,CBlock,TA,Attchd,Stone,ALQ
175,243000,6,2158,2,576,1202,2158,2,7,1950,Edwards,TA,Gd,TA,Unf,CBlock,TA,Attchd,None,ALQ
176,211000,6,2060,2,521,1151,1164,2,8,1988,ClearCr,Gd,TA,Gd,Unf,PConc,TA,Attchd,BrkFace,GLQ
177,172500,5,1920,2,451,1052,1252,2,8,1958,Sawyer,Gd,Gd,TA,Unf,CBlock,Ex,Attchd,None,ALQ
178,501837,9,2234,3,1166,2216,2234,2,9,2008,StoneBr,Ex,Ex,Ex,Fin,PConc,Ex,Attchd,Stone,GLQ
179,100000,5,968,2,480,968,968,1,5,1923,OldTown,Gd,TA,TA,Unf,CBlock,TA,Detchd,None,Unf
180,177000,6,1525,2,440,756,769,2,5,2000,Somerst,Gd,Gd,Gd,Unf,PConc,Ex,Detchd,BrkFace,GLQ
181,200100,7,1802,1,216,793,901,1,9,1920,Crawfor,TA,TA,Fa,Unf,BrkTil,Gd,Detchd,None,LwQ
182,120000,5,1340,1,252,0,1340,1,7,1957,Edwards,TA,TA,,RFn,PConc,Ex,Attchd,BrkFace,
183,200000,7,2082,2,484,1362,1362,2,6,2003,OldTown,TA,Gd,Gd,Unf,PConc,Ex,Detchd,None,Unf
184,127000,5,1252,2,576,504,936,1,5,1908,BrkSide,TA,TA,Fa,Unf,PConc,Gd,Attchd,None,Unf
185,475000,10,3608,3,840,1107,1518,2,12,1892,OldTown,Gd,Ex,TA,Unf,BrkTil,Ex,Detchd,None,Unf
186,173000,7,1217,2,497,1188,1217,2,6,1990,Mitchel,TA,Gd,Gd,Unf,PConc,Ex,Attchd,None,GLQ
187,135000,5,1656,1,180,660,808,2,8,1916,OldTown,TA,TA,Fa,Unf,CBlock,Ex,Detchd,None,Unf
188,153337,5,1224,2,528,1086,1224,0,6,1979,SawyerW,TA,TA,Gd,Unf,CBlock,TA,Detchd,Stone,GLQ
189,286000,8,1593,2,682,1593,1593,1,5,2001,StoneBr,Gd,Ex,Ex,Fin,PConc,Ex,Attchd,None,GLQ
190,315000,8,2727,2,440,853,1549,2,10,1932,Crawfor,Gd,Gd,Gd,Unf,CBlock,TA,Detchd,None,Rec
191,184000,7,1479,2,484,725,725,1,7,1972,NAmes,TA,Gd,TA,Fin,CBlock,Gd,Attchd,BrkFace,ALQ
192,192000,7,1431,2,666,1431,1431,2,6,1999,CollgCr,Gd,Gd,Gd,Fin,PConc,Ex,Attchd,None,GLQ
193,130000,7,1709,2,380,970,970,2,7,2004,Edwards,Gd,Gd,Gd,Unf,PConc,Ex,Detchd,Stone,Unf
194,127000,5,864,1,352,864,864,1,5,1972,CollgCr,TA,TA,TA,Unf,CBlock,TA,Detchd,None,ALQ
195,148500,6,1456,2,440,855,855,2,7,1976,NPkVill,TA,TA,Gd,Unf,CBlock,TA,Attchd,None,ALQ
196,311872,7,1726,3,786,1726,1726,2,8,2007,Somerst,Ex,Ex,Ex,Fin,PConc,Ex,Attchd,Stone,GLQ
197,235000,8,3112,2,795,1360,1360,2,8,1918,NAmes,Gd,Gd,TA,Unf,PConc,Gd,Detchd,None,GLQ
198,104000,6,2229,0,0,755,929,1,8,1912,OldTown,TA,TA,TA,,CBlock,Ex,,None,Unf
199,274900,8,1713,3,856,1713,1713,2,7,2004,NridgHt,Gd,Ex,Ex,Fin,PConc,Ex,Attchd,BrkFace,GLQ
200,140000,4,1121,2,440,1121,1121,2,5,2003,Edwards,TA,TA,Gd,RFn,PConc,Ex,Attchd,None,Unf
201,171500,6,1279,2,473,1196,1279,2,6,1977,Mitchel,TA,TA,TA,Unf,CBlock,TA,Detchd,None,ALQ
202,112000,6,1310,1,398,617,865,2,6,1924,OldTown,TA,TA,Fa,Unf,BrkTil,Gd,Attchd,None,LwQ
203,149000,6,848,2,420,848,848,1,3,2004,CollgCr,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,BrkFace,GLQ
204,110000,5,1284,1,240,720,720,1,5,1947,OldTown,TA,TA,TA,Unf,CBlock,TA,Detchd,None,LwQ
